"","0:Male","1:Male","0:Female","1:Female","p","test"
"n","202432","  7772","290508"," 12014","",""
"bmi_calc (mean (SD))"," 23.43 (3.25)"," 23.45 (3.21)"," 23.81 (3.46)"," 23.93 (3.51)","<0.001",""
"bmi_group (%)","","  ","","  ","<0.001",""
"   <18.5","  9107 ( 4.5) ","   318 ( 4.1) "," 12436 ( 4.3) ","   500 ( 4.2) ","",""
"   18.5-23.9","109006 (53.8) ","  4243 (54.6) ","146728 (50.5) ","  5905 (49.2) ","",""
"   24.0-27.9"," 66334 (32.8) ","  2489 (32.0) "," 97195 (33.5) ","  4122 (34.3) ","",""
"   ≥28.0"," 17985 ( 8.9) ","   721 ( 9.3) "," 34148 (11.8) ","  1487 (12.4) ","",""
"waist_hip_ratio (mean (SD))","  0.90 (0.06)","  0.90 (0.06)","  0.87 (0.07)","  0.87 (0.07)","<0.001",""
"whr_group (%)","","  ","","  ","<0.001",""
"   Normal"," 91217 (45.1) ","  3487 (44.9) ","113968 (39.2) ","  4785 (39.8) ","",""
"   Overweight"," 58331 (28.8) ","  2262 (29.1) "," 80186 (27.6) ","  3338 (27.8) ","",""
"   Obese"," 52884 (26.1) ","  2023 (26.0) "," 96354 (33.2) ","  3891 (32.4) ","",""
"fat_percent (mean (SD))"," 21.97 (6.22)"," 22.16 (6.21)"," 32.08 (7.12)"," 32.46 (7.23)","<0.001",""
"fat_body_mass_kg (mean (SD))"," 14.60 (6.17)"," 14.71 (6.17)"," 18.71 (6.90)"," 19.04 (7.07)","<0.001",""
"lean_body_mass_kg (mean (SD))"," 49.59 (6.15)"," 49.48 (6.08)"," 37.98 (4.13)"," 37.95 (4.15)","<0.001",""
"sbp_mean (mean (SD))","132.79 (20.04)","133.68 (20.17)","129.81 (21.96)","131.31 (22.67)","<0.001",""
"sbp_group (%)","","  ","","  ","<0.001",""
"   <120"," 52955 (26.2) ","  1898 (24.4) ","104252 (35.9) ","  4070 (33.9) ","",""
"   120-139"," 87425 (43.2) ","  3430 (44.1) ","106340 (36.6) ","  4365 (36.3) ","",""
"   ≥140"," 62052 (30.7) ","  2444 (31.4) "," 79916 (27.5) ","  3579 (29.8) ","",""
"random_glucose (mean (SD))","  5.97 (2.33)","  5.80 (2.29)","  6.15 (2.34)","  5.98 (2.29)","<0.001",""
"random_glucose_group (%)","","  ","","  ","<0.001",""
"   <5.8","119753 (59.2) ","  4962 (63.8) ","154137 (53.1) ","  7055 (58.7) ","",""
"   5.8-7.7"," 61779 (30.5) ","  2029 (26.1) ","105880 (36.4) ","  3756 (31.3) ","",""
"   7.8-11"," 11492 ( 5.7) ","   424 ( 5.5) "," 16880 ( 5.8) ","   610 ( 5.1) ","",""
"   ≥11","  9408 ( 4.6) ","   357 ( 4.6) "," 13611 ( 4.7) ","   593 ( 4.9) ","",""
