"","0","1","p","test"
"n","492940"," 19786","",""
"bmi_calc (mean (SD))"," 23.66 (3.38)"," 23.74 (3.40)","<0.001",""
"bmi_group (%)",""," "," 0.017",""
"   <18.5"," 21543 ( 4.4) ","   818 ( 4.1) ","",""
"   18.5-23.9","255734 (51.9) "," 10148 (51.3) ","",""
"   24.0-27.9","163529 (33.2) ","  6611 (33.4) ","",""
"   ≥28.0"," 52133 (10.6) ","  2208 (11.2) ","",""
"waist_hip_ratio (mean (SD))","  0.88 (0.07)","  0.88 (0.07)"," 0.010",""
"whr_group (%)",""," "," 0.506",""
"   Normal","205185 (41.6) ","  8272 (41.8) ","",""
"   Overweight","138517 (28.1) ","  5600 (28.3) ","",""
"   Obese","149238 (30.3) ","  5914 (29.9) ","",""
"fat_percent (mean (SD))"," 27.93 (8.39)"," 28.41 (8.50)","<0.001",""
"fat_body_mass_kg (mean (SD))"," 17.02 (6.91)"," 17.34 (7.05)","<0.001",""
"lean_body_mass_kg (mean (SD))"," 42.74 (7.63)"," 42.48 (7.53)","<0.001",""
"sbp_mean (mean (SD))","131.04 (21.24)","132.24 (21.75)","<0.001",""
"sbp_group (%)",""," ","<0.001",""
"   <120","157207 (31.9) ","  5968 (30.2) ","",""
"   120-139","193765 (39.3) ","  7795 (39.4) ","",""
"   ≥140","141968 (28.8) ","  6023 (30.4) ","",""
"random_glucose (mean (SD))","  6.08 (2.34)","  5.91 (2.29)","<0.001",""
"random_glucose_group (%)",""," ","<0.001",""
"   <5.8","273890 (55.6) "," 12017 (60.7) ","",""
"   5.8-7.7","167659 (34.0) ","  5785 (29.2) ","",""
"   7.8-11"," 28372 ( 5.8) ","  1034 ( 5.2) ","",""
"   ≥11"," 23019 ( 4.7) ","   950 ( 4.8) ","",""
