"","Male","Female","p","test"
"n","210204","302522","",""
"bmi_calc (mean (SD))"," 23.43 (3.25)"," 23.82 (3.46)","<0.001",""
"bmi_group (%)","","","<0.001",""
"   <18.5","  9425 ( 4.5) "," 12936 ( 4.3) ","",""
"   18.5-23.9","113249 (53.9) ","152633 (50.5) ","",""
"   24.0-27.9"," 68823 (32.7) ","101317 (33.5) ","",""
"   =28.0"," 18706 ( 8.9) "," 35635 (11.8) ","",""
"waist_hip_ratio (mean (SD))","  0.90 (0.06)","  0.87 (0.07)","<0.001",""
"whr_group (%)","","","<0.001",""
"   Normal"," 94704 (45.1) ","118753 (39.3) ","",""
"   Overweight"," 60593 (28.8) "," 83524 (27.6) ","",""
"   Obese"," 54907 (26.1) ","100245 (33.1) ","",""
"fat_percent (mean (SD))"," 21.98 (6.22)"," 32.10 (7.12)","<0.001",""
"fat_body_mass_kg (mean (SD))"," 14.60 (6.17)"," 18.72 (6.91)","<0.001",""
"lean_body_mass_kg (mean (SD))"," 49.58 (6.15)"," 37.98 (4.13)","<0.001",""
"sbp_mean (mean (SD))","132.83 (20.04)","129.87 (21.99)","<0.001",""
"sbp_group (%)","","","<0.001",""
"   <120"," 54853 (26.1) ","108322 (35.8) ","",""
"   120-139"," 90855 (43.2) ","110705 (36.6) ","",""
"   =140"," 64496 (30.7) "," 83495 (27.6) ","",""
"random_glucose (mean (SD))","  5.97 (2.33)","  6.14 (2.34)","<0.001",""
"random_glucose_group (%)","","","<0.001",""
"   <5.8","124715 (59.3) ","161192 (53.3) ","",""
"   5.8-7.7"," 63808 (30.4) ","109636 (36.2) ","",""
"   7.8-11"," 11916 ( 5.7) "," 17490 ( 5.8) ","",""
"   =11","  9765 ( 4.6) "," 14204 ( 4.7) ","",""
