"","Overall"
"n","512726"
"bmi_calc (mean (SD))"," 23.66 (3.38)"
"bmi_group (%)",""
"   <18.5"," 22361 ( 4.4) "
"   18.5-23.9","265882 (51.9) "
"   24.0-27.9","170140 (33.2) "
"   =28.0"," 54341 (10.6) "
"waist_hip_ratio (mean (SD))","  0.88 (0.07)"
"whr_group (%)",""
"   Normal","213457 (41.6) "
"   Overweight","144117 (28.1) "
"   Obese","155152 (30.3) "
"fat_percent (mean (SD))"," 27.95 (8.40)"
"fat_body_mass_kg (mean (SD))"," 17.03 (6.92)"
"lean_body_mass_kg (mean (SD))"," 42.73 (7.63)"
"sbp_mean (mean (SD))","131.08 (21.26)"
"sbp_group (%)",""
"   <120","163175 (31.8) "
"   120-139","201560 (39.3) "
"   =140","147991 (28.9) "
"random_glucose (mean (SD))","  6.07 (2.34)"
"random_glucose_group (%)",""
"   <5.8","285907 (55.8) "
"   5.8-7.7","173444 (33.8) "
"   7.8-11"," 29406 ( 5.7) "
"   =11"," 23969 ( 4.7) "
