"","0:Male","1:Male","0:Female","1:Female","p","test"
"n","10127","200077","13151","289371","",""
"age_at_study_date (mean (SD))","62.41 (8.71)"," 52.36 (10.78)","61.16 (8.54)"," 51.01 (10.35)","<0.001",""
"age_group (%)"," ","","","","<0.001",""
"   30-59"," 3714 (36.7) ","148821 (74.4) "," 5599 (42.6) ","229874 (79.4) ","",""
"   60-69"," 4146 (40.9) "," 37194 (18.6) "," 5364 (40.8) "," 45049 (15.6) ","",""
"   70-79"," 2267 (22.4) "," 14062 ( 7.0) "," 2188 (16.6) "," 14448 ( 5.0) ","",""
"region_is_urban = Urban (%)"," 6020 (59.4) "," 85337 (42.7) "," 8815 (67.0) ","126021 (43.5) ","<0.001",""
"marital_status_group (%)"," ","","","","<0.001",""
"   Married"," 9271 (91.5) ","186027 (93.0) ","10436 (79.4) ","258741 (89.4) ","",""
"   Widowed, separated or divorced","  779 ( 7.7) "," 11078 ( 5.5) "," 2697 (20.5) "," 29946 (10.3) ","",""
"   Never married","   77 ( 0.8) ","  2972 ( 1.5) ","   18 ( 0.1) ","   684 ( 0.2) ","",""
"highest_education (%)"," ","","","","<0.001",""
"   No formal school","  823 ( 8.1) "," 17838 ( 8.9) "," 2987 (22.7) "," 73531 (25.4) ","",""
"   Primary School"," 3400 (33.6) "," 66714 (33.3) "," 4335 (33.0) "," 90738 (31.4) ","",""
"   Middle School"," 2786 (27.5) "," 65383 (32.7) "," 3022 (23.0) "," 73683 (25.5) ","",""
"   High School"," 1788 (17.7) "," 34935 (17.5) "," 1943 (14.8) "," 38844 (13.4) ","",""
"   Technical school / college","  619 ( 6.1) ","  8826 ( 4.4) ","  505 ( 3.8) ","  8315 ( 2.9) ","",""
"   University","  711 ( 7.0) ","  6381 ( 3.2) ","  359 ( 2.7) ","  4260 ( 1.5) ","",""
"household_income (%)"," ","","","","<0.001",""
"   <2,500 yuan","  414 ( 4.1) ","  5738 ( 2.9) ","  450 ( 3.4) ","  8937 ( 3.1) ","",""
"   2,500-4,999 yuan","  614 ( 6.1) "," 12680 ( 6.3) ","  829 ( 6.3) "," 20504 ( 7.1) ","",""
"   5,000-9,999 yuan"," 1415 (14.0) "," 33862 (16.9) "," 2249 (17.1) "," 57043 (19.7) ","",""
"   10,000-19,999 yuan"," 3258 (32.2) "," 56286 (28.1) "," 4405 (33.5) "," 85009 (29.4) ","",""
"   20,000-34,999 yuan"," 2645 (26.1) "," 50761 (25.4) "," 3158 (24.0) "," 70142 (24.2) ","",""
"   >=35,000 yuan"," 1781 (17.6) "," 40750 (20.4) "," 2060 (15.7) "," 47736 (16.5) ","",""
"occupation (%)"," ","","","","<0.001",""
"   Agriculture & related workers"," 2457 (24.3) "," 88795 (44.4) "," 1920 (14.6) ","120752 (41.7) ","",""
"   Factory worker","  661 ( 6.5) "," 39573 (19.8) ","  237 ( 1.8) "," 31924 (11.0) ","",""
"   Administrator / manager","  230 ( 2.3) ","  6862 ( 3.4) ","   70 ( 0.5) ","  3931 ( 1.4) ","",""
"   Professional / technical","  225 ( 2.2) ","  7518 ( 3.8) ","  198 ( 1.5) ","  7762 ( 2.7) ","",""
"   Sales & service workers","  253 ( 2.5) "," 10043 ( 5.0) ","  231 ( 1.8) "," 14861 ( 5.1) ","",""
"   Retired"," 4876 (48.1) "," 26045 (13.0) "," 6896 (52.4) "," 47127 (16.3) ","",""
