"","0","1","p","test"
"n","23278","489448","",""
"age_at_study_date (mean (SD))","61.70 (8.64)"," 51.57 (10.55)","<0.001",""
"age_group (%)","","","<0.001",""
"   30-59"," 9313 (40.0) ","378695 (77.4) ","",""
"   60-69"," 9510 (40.9) "," 82243 (16.8) ","",""
"   70-79"," 4455 (19.1) "," 28510 ( 5.8) ","",""
"region_is_urban = Urban (%)","14835 (63.7) ","211358 (43.2) ","<0.001",""
"marital_status_group (%)","","","<0.001",""
"   Married","19707 (84.7) ","444768 (90.9) ","",""
"   Widowed, separated or divorced"," 3476 (14.9) "," 41024 ( 8.4) ","",""
"   Never married","   95 ( 0.4) ","  3656 ( 0.7) ","",""
"highest_education (%)","","","<0.001",""
"   No formal school"," 3810 (16.4) "," 91369 (18.7) ","",""
"   Primary School"," 7735 (33.2) ","157452 (32.2) ","",""
"   Middle School"," 5808 (25.0) ","139066 (28.4) ","",""
"   High School"," 3731 (16.0) "," 73779 (15.1) ","",""
"   Technical school / college"," 1124 ( 4.8) "," 17141 ( 3.5) ","",""
"   University"," 1070 ( 4.6) "," 10641 ( 2.2) ","",""
"household_income (%)","","","<0.001",""
"   <2,500 yuan","  864 ( 3.7) "," 14675 ( 3.0) ","",""
"   2,500-4,999 yuan"," 1443 ( 6.2) "," 33184 ( 6.8) ","",""
"   5,000-9,999 yuan"," 3664 (15.7) "," 90905 (18.6) ","",""
"   10,000-19,999 yuan"," 7663 (32.9) ","141295 (28.9) ","",""
"   20,000-34,999 yuan"," 5803 (24.9) ","120903 (24.7) ","",""
"   >=35,000 yuan"," 3841 (16.5) "," 88486 (18.1) ","",""
"occupation (%)","","","<0.001",""
"   Agriculture & related workers"," 4377 (18.8) ","209547 (42.8) ","",""
"   Factory worker","  898 ( 3.9) "," 71497 (14.6) ","",""
"   Administrator / manager","  300 ( 1.3) "," 10793 ( 2.2) ","",""
"   Professional / technical","  423 ( 1.8) "," 15280 ( 3.1) ","",""
"   Sales & service workers","  484 ( 2.1) "," 24904 ( 5.1) ","",""
"   Retired","11772 (50.6) "," 73172 (14.9) ","",""
"   House wife / husband"," 4103 (17.6) "," 49376 (10.1) ","",""
"   Self-employed","  202 ( 0.9) "," 13743 ( 2.8) ","",""
"   Unemployed","  485 ( 2.1) "," 13102 ( 2.7) ","",""
"   Other or not stated","  234 ( 1.0) ","  8034 ( 1.6) ","",""
"smoking_group (%)","","","<0.001",""
"   Never smoker","13938 (59.9) ","303557 (62.0) ","",""
"   Occasional smoker"," 1151 ( 4.9) "," 27996 ( 5.7) ","",""
"   Ex regular smoker"," 2758 (11.8) "," 20221 ( 4.1) ","",""
"   Smoker"," 5431 (23.3) ","137674 (28.1) ","",""
"alcohol_category (%)","","","<0.001",""
"   Never regular","11360 (48.8) ","223753 (45.7) ","",""
"   Ex-regular"," 1321 ( 5.7) ","  7935 ( 1.6) ","",""
"   Occasional"," 6673 (28.7) ","156459 (32.0) ","",""
"   Monthly","  471 ( 2.0) "," 16914 ( 3.5) ","",""
"   Reduced intake"," 1103 ( 4.7) "," 10593 ( 2.2) ","",""
"   Weekly"," 2350 (10.1) "," 73794 (15.1) ","",""
"daily_fresh_fruit = Daily (%)"," 7046 (30.3) "," 89542 (18.3) ","<0.001",""
"daily_fresh_veg = Daily (%)","22457 (96.5) ","463493 (94.7) ","<0.001",""
"daily_meat = Daily (%)"," 7843 (33.7) ","142180 (29.0) ","<0.001",""
"met (median [IQR])"," 9.60 [5.87, 14.57]"," 18.02 [10.71, 30.53]","<0.001","nonnorm"
"self_rated_health (%)","","","<0.001",""
"   Excellent"," 1876 ( 8.1) "," 88525 (18.1) ","",""
"   Good"," 2819 (12.1) ","141392 (28.9) ","",""
"   Fair","11519 (49.5) ","213504 (43.6) ","",""
"   Poor"," 7064 (30.3) "," 46027 ( 9.4) ","",""
"chd_diag = Yes (%)","15472 (66.5) ","     0 ( 0.0) ","<0.001",""
"stroke_or_tia_diag = Yes (%)"," 8884 (38.2) ","     0 ( 0.0) ","<0.001",""
"hypertension_diag = Yes (%)","11178 (48.0) "," 48525 ( 9.9) ","<0.001",""
"diabetes_diag = Yes (%)"," 2854 (12.3) "," 13308 ( 2.7) ","<0.001",""
"copd_diag = Yes (%)"," 2331 (10.0) "," 34726 ( 7.1) ","<0.001",""
"cancer_diag = Yes (%)","  193 ( 0.8) ","  2385 ( 0.5) ","<0.001",""
"kidney_dis_diag = Yes (%)","  766 ( 3.3) ","  6809 ( 1.4) ","<0.001",""
