"","Male","Female","p","test"
"n","210204","302522","",""
"age_at_study_date (mean (SD))"," 52.85 (10.91)"," 51.46 (10.48)","<0.001",""
"age_group (%)","","","<0.001",""
"   30-59","152535 (72.6) ","235473 (77.8) ","",""
"   60-69"," 41340 (19.7) "," 50413 (16.7) ","",""
"   70-79"," 16329 ( 7.8) "," 16636 ( 5.5) ","",""
"region_is_urban = Urban (%)"," 91357 (43.5) ","134836 (44.6) ","<0.001",""
"marital_status_group (%)","","","<0.001",""
"   Married","195298 (92.9) ","269177 (89.0) ","",""
"   Widowed, separated or divorced"," 11857 ( 5.6) "," 32643 (10.8) ","",""
"   Never married","  3049 ( 1.5) ","   702 ( 0.2) ","",""
"highest_education (%)","","","<0.001",""
"   No formal school"," 18661 ( 8.9) "," 76518 (25.3) ","",""
"   Primary School"," 70114 (33.4) "," 95073 (31.4) ","",""
"   Middle School"," 68169 (32.4) "," 76705 (25.4) ","",""
"   High School"," 36723 (17.5) "," 40787 (13.5) ","",""
"   Technical school / college","  9445 ( 4.5) ","  8820 ( 2.9) ","",""
"   University","  7092 ( 3.4) ","  4619 ( 1.5) ","",""
"household_income (%)","","","<0.001",""
"   <2,500 yuan","  6152 ( 2.9) ","  9387 ( 3.1) ","",""
"   2,500-4,999 yuan"," 13294 ( 6.3) "," 21333 ( 7.1) ","",""
"   5,000-9,999 yuan"," 35277 (16.8) "," 59292 (19.6) ","",""
"   10,000-19,999 yuan"," 59544 (28.3) "," 89414 (29.6) ","",""
"   20,000-34,999 yuan"," 53406 (25.4) "," 73300 (24.2) ","",""
"   >=35,000 yuan"," 42531 (20.2) "," 49796 (16.5) ","",""
"occupation (%)","","","<0.001",""
"   Agriculture & related workers"," 91252 (43.4) ","122672 (40.5) ","",""
"   Factory worker"," 40234 (19.1) "," 32161 (10.6) ","",""
"   Administrator / manager","  7092 ( 3.4) ","  4001 ( 1.3) ","",""
"   Professional / technical","  7743 ( 3.7) ","  7960 ( 2.6) ","",""
"   Sales & service workers"," 10296 ( 4.9) "," 15092 ( 5.0) ","",""
"   Retired"," 30921 (14.7) "," 54023 (17.9) ","",""
"   House wife / husband","  5898 ( 2.8) "," 47581 (15.7) ","",""
"   Self-employed","  7377 ( 3.5) ","  6568 ( 2.2) ","",""
"   Unemployed","  5831 ( 2.8) ","  7756 ( 2.6) ","",""
"   Other or not stated","  3560 ( 1.7) ","  4708 ( 1.6) ","",""
"smoking_group (%)","","","<0.001",""
"   Never smoker"," 30303 (14.4) ","287192 (94.9) ","",""
"   Occasional smoker"," 23614 (11.2) ","  5533 ( 1.8) ","",""
"   Ex regular smoker"," 20763 ( 9.9) ","  2216 ( 0.7) ","",""
"   Smoker","135524 (64.5) ","  7581 ( 2.5) ","",""
"alcohol_category (%)","","","<0.001",""
"   Never regular"," 42779 (20.4) ","192334 (63.6) ","",""
"   Ex-regular","  7924 ( 3.8) ","  1332 ( 0.4) ","",""
"   Occasional"," 66073 (31.4) "," 97059 (32.1) ","",""
"   Monthly"," 13158 ( 6.3) ","  4227 ( 1.4) ","",""
"   Reduced intake"," 10371 ( 4.9) ","  1325 ( 0.4) ","",""
"   Weekly"," 69899 (33.3) ","  6245 ( 2.1) ","",""
"daily_fresh_fruit = Daily (%)"," 30504 (14.5) "," 66084 (21.8) ","<0.001",""
"daily_fresh_veg = Daily (%)","199532 (94.9) ","286418 (94.7) ","<0.001",""
"daily_meat = Daily (%)"," 69103 (32.9) "," 80920 (26.7) ","<0.001",""
"met (median [IQR])"," 18.72 [9.60, 32.45]"," 16.80 [10.67, 28.21]","<0.001","nonnorm"
"self_rated_health (%)","","","<0.001",""
"   Excellent"," 42018 (20.0) "," 48383 (16.0) ","",""
"   Good"," 61469 (29.2) "," 82742 (27.4) ","",""
"   Fair"," 87976 (41.9) ","137047 (45.3) ","",""
"   Poor"," 18741 ( 8.9) "," 34350 (11.4) ","",""
"asthma_diag = Yes (%)","  1214 ( 0.6) ","  1592 ( 0.5) "," 0.015",""
"cancer_diag = Yes (%)","   968 ( 0.5) ","  1610 ( 0.5) ","<0.001",""
"chd_diag = Yes (%)","  5717 ( 2.7) ","  9755 ( 3.2) ","<0.001",""
"cirrhosis_hep_diag = Yes (%)","  3641 ( 1.7) ","  2552 ( 0.8) ","<0.001",""
"copd_diag = Yes (%)"," 18446 ( 8.8) "," 18611 ( 6.2) ","<0.001",""
"emph_bronc_diag = Yes (%)","  6542 ( 3.1) ","  6746 ( 2.2) ","<0.001",""
"fracture_diag = Yes (%)"," 18509 ( 8.8) "," 16936 ( 5.6) ","<0.001",""
"gall_diag = Yes (%)","  8168 ( 3.9) "," 22829 ( 7.5) ","<0.001",""
"hypertension_diag = Yes (%)"," 23768 (11.3) "," 35935 (11.9) ","<0.001",""
"kidney_dis_diag = Yes (%)","  2663 ( 1.3) ","  4912 ( 1.6) ","<0.001",""
"neurasthenia_diag = Yes (%)","  1542 ( 0.7) ","  4157 ( 1.4) ","<0.001",""
"peptic_ulcer_diag = Yes (%)"," 11189 ( 5.3) ","  8826 ( 2.9) ","<0.001",""
"rheum_arthritis_diag = Yes (%)","  3048 ( 1.5) ","  7576 ( 2.5) ","<0.001",""
"rheum_heart_dis_diag = Yes (%)","   210 ( 0.1) ","   727 ( 0.2) ","<0.001",""
"stroke_or_tia_diag = Yes (%)","  4911 ( 2.3) ","  3973 ( 1.3) ","<0.001",""
"tb_diag = Yes (%)","  4236 ( 2.0) ","  3423 ( 1.1) ","<0.001",""
