"","Male","Female","p","test"
"n","210204","302522","",""
"region_code (%)"," "," "," NA","exact"
"   Qingdao (Urban)"," 15624 ( 7.4) "," 19884 ( 6.6) ","",""
"   Harbin (Urban)"," 23252 (11.1) "," 34304 (11.3) ","",""
"   Haikou (Urban)"," 10794 ( 5.1) "," 18892 ( 6.2) ","",""
"   Suzhou (Urban)"," 22366 (10.6) "," 30903 (10.2) ","",""
"   Liuzhou (Urban)"," 19321 ( 9.2) "," 30853 (10.2) ","",""
"   Sichuan (Rural)"," 21315 (10.1) "," 34371 (11.4) ","",""
"   Gansu (Rural)"," 19298 ( 9.2) "," 30589 (10.1) ","",""
"   Henan (Rural)"," 27841 (13.2) "," 35515 (11.7) ","",""
"   Zhejiang (Rural)"," 24027 (11.4) "," 33677 (11.1) ","",""
"   Hunan (Rural)"," 26366 (12.5) "," 33534 (11.1) ","",""
